topic_id,Count,Name,Representation,Representative_Docs,llm_label
9,89,topic_9,"['runway', 'end runway', 'left', 'feet', 'taxiway', 'end', 'traffic', 'runway 28l', '28l', 'departure']","['The operator of OPS6 misidentifed runway 34R for taxiway F and proceeded onto runway 34R at taxiway WC and traveled south on the runway.', 'The airplane then aligned with and landed on runway 28L instead of runway 28C at 0944:42 and subsequently turned right to exit the runway.', 'The airplane then aligned with and landed on runway 28L instead of runway 28C at 0944:42 and subsequently turned right to exit the runway.']",Runway Departure
10,83,topic_10,"['wire', 'fire', 'terminal', 'damaged', 'nacelle', 'block', 'terminal block', 'insulation', 'left', 'consumed']","['The left engine strut and nacelle, left wing including control surfaces, left main gear, and portions of the left side of the fuselage were substantially damaged by fire.', 'The left engine strut and nacelle, left wing including control surfaces, left main gear, and portions of the left side of the fuselage were substantially damaged by fire.', 'The left engine strut and nacelle, left wing including control surfaces, left main gear, and portions of the left side of the fuselage were substantially damaged by fire.']",Wire Damage
11,73,topic_11,"['blade', 'fan', 'fan blade', 'fan case', 'case', 'inlet', 'root', 'inches', 'blade root', 'blades']","[""There was a piece of fan blade found up against the leading edges of the fan exit guide vanes at about 4 o'clock. This piece of fan blade was about 15-inches wide chord wise, 23-inches long radially, and had a fracture surface on the inner end that corresponded to the fracture surface on blade No. 11."", ""at which point the blade root sheared the inner barrel between the twelve and three o'clock positions. Thus, according to this assessment, the fan blade root would have made almost two complete revolutions within the fan case and the inlet before the inlet failed and portions of the inlet departed the airplane."", ""The fan blade's impact with the fan case caused the fan case to deform locally over a short period of time. This deformation traveled both around and forward/after of the fan case.""]",Fan Blade Failure
12,73,topic_12,"['altitude', 'airspeed', 'feet', 'acceleration', 'knots', 'speed', 'vertical', 'climb', 'minimum', 'rate']","[""The vertical acceleration fluctuated between -.55 g's to a peak of +1.64 g's while lateral acceleration changed from -.13 g's to +.23 g within three seconds."", 'entered an unusual attitude and lost altitude about 43km south of Hamamatsu City, Shizuoka Prefecture, Japan, as the aircraft was in cruise at an altitude of about 41,000 feet.', 'entered an unusual attitude and lost altitude about 43km south of Hamamatsu City, Shizuoka Prefecture, Japan, as the aircraft was in cruise at an altitude of about 41,000 feet.']",Altitude Loss
13,65,topic_13,"['fault', 'ecam', 'number', 'message', 'display', 'idg', 'number idg', 'light', 'gcu', 'warning']","['They also observed the “ELEC GEN 2 FAULT” message on the lower Electronic Centralized Aircraft Monitor (ECAM) and a FAULT caption illuminate on the overhead panel.', 'The fault caused the number 1 GCU to take the number 1 IDG offline and transfer its electrical load to the number 2 IDG.', 'First, the number 1 GCU recorded an over frequency fault with the number 1 IDG, at 0833:42 airplane ship time. The fault caused the number 1 GCU to take the number 1 IDG offline and transfer its electrical load to the number 2 IDG.']",ECAM Display Fault
14,63,topic_14,"['engine', 'temperature', 'exhaust gas temperature', 'exhaust gas', 'gas temperature', 'gas', 'exhaust', 'oil', 'warning', 'left engine']","['followed by an excessive exhaust gas temperature (exhaust gas temperature)', ""The pilots further reported that following the thump; the No. 1 engine's engine pressure ratio [engine pressure ratio] and N1 were decreasing, the exhaust gas temperature [exhaust gas temperature] was increasing, and the oil quantity indicated about 9 quarts."", ""The pilots further reported that following the thump; the No. 1 engine's engine pressure ratio [engine pressure ratio] and N1 were decreasing, the exhaust gas temperature [exhaust gas temperature] was increasing, and the oil quantity indicated about 9 quarts.""]",Engine Overheat
15,54,topic_15,"['turbine', 'pressure turbine', 'pressure', 'stage', 'high pressure', 'low pressure turbine', 'high', 'low pressure', 'case', 'compressor']","['The disassembly of the engine revealed extensive damage through the high pressure compressor, high pressure turbine, and low pressure turbine.', 'a borescope inspection has revealed a 2nd stage high pressure turbine (high pressure turbine) nozzle failure and small holes and tears to the high pressure turbine case; no debris penetrated the nacelle.', 'a borescope inspection has revealed a 2nd stage high pressure turbine (high pressure turbine) nozzle failure and small holes and tears to the high pressure turbine case; no debris penetrated the nacelle.']",Turbine Failure
16,53,topic_16,"['smoke', 'cabin', 'odor', 'cockpit', 'noticed', 'smell', 'coming', 'first', 'smelled', 'emanating']","['after the pilots noticed smoke outside the windshield and an air traffic controller confirmed that there was smoke coming from the forward fuselage.', 'During decent, about 21,500 feet mean sea level, the first officer smelled smoke and subsequently noticed smoke and fire emanating from the upper forward corner of the right windshield.', 'During decent, about 21,500 feet mean sea level, the first officer smelled smoke and subsequently noticed smoke and fire emanating from the upper forward corner of the right windshield.']",Smoke in Cabin
17,48,topic_17,"['loud', 'bang', 'heard', 'loud bang', 'engine', 'reported', 'followed', 'reported hearing', 'sound', 'hearing']","[""the pilots reported hearing a loud bang that was followed by the No. 3 engine's N1 rpm decreasing while the exhaust gas temperature (exhaust gas temperature) increased."", 'The crew reported hearing a loud bang, followed by a reduction in engine power, and a No. 1 (left) engine fire warning.', 'The crew reported hearing a loud bang, followed by a reduction in engine power, and a No. 1 (left) engine fire warning.']",Engine Failure
18,47,topic_18,"['hydraulic', 'nlg', 'pressure', 'valve', 'atp', 'psi', 'per', 'test', 'fluid', 'hydraulic fluid']","['Examination of the slide after the accident revealed that the release cable had been pulled, the inflation valve was open, and the pressure gauge on the reservoir and valve assembly (RVA) was showing zero pressure.', 'The hydraulic manifold passed all ATP elements except for the “Flow1” test, which required the hydraulic fluid flow to be between 0.95 and 1.40 gallons per minute. The flow was measured as 1.41 gallons per minute.', 'The hydraulic manifold passed all ATP elements except for the “Flow1” test, which required the hydraulic fluid flow to be between 0.95 and 1.40 gallons per minute. The flow was measured as 1.41 gallons per minute.']",Hydraulic Failure
