doc_id,accident_id,text,event_polarity,topic_id
67,112,"The FAA Technical Center Visual Guidance Program Manager stated in an interview that research conducted by FAA, in conjunction with International Civil Aviation Organization, determined that pilots “do not like” the intermixing of LED and incandescent lights on a movement surface.",NEGATIVE,-1
68,112,"The human machine interface did not provide the Air Traffic Control Tower personnel with the capability to individually control each of the airport lighting circuits in accordance with guidance contained in FAA Advisory Circular 150/5345-56, “Specification for L-890 Airport Lighting Control and Monitoring System”.",NEGATIVE,-1
69,112,"The ALCMS taxiway edge light preset commands at ATL were programmed to activate all taxiway edge lights at the highest step intensity, regardless of the visibility and night/day criteria, in contrast to the operating guidelines set forth in FAA JO 7110.65S, “Air Traffic Control”, paragraph 3-4-11, “Taxiway Lights”.",NEGATIVE,-1
70,112,"Additionally, the human machine interface in the control tower did not provide controllers the capability to adjust taxiway edge light intensities as recommended in Advisory Circular 150/5340-56.",NEGATIVE,-1
71,112,"Interviews with control tower personnel indicated that, due to the construction at the airport, the approach lighting system for runway 27R had been “released to maintenance”, was turned off at the time of the incident, and that it would require about 20 minutes to coordinate turning the system on.",NEGATIVE,-1
72,112,Interviews also indicated that the localizer for runway 27R was turned off at the time of the incident and normally would be turned on if there was enough time.,NEGATIVE,9
73,112,"The flight operations manual did not include guidance on what, if any, assistance should be provided to the crew by flight control or dispatch personnel.",NEGATIVE,4
74,112,"when the flight crew conducted the initial approach briefing prior to descent, the captain identified fatigue as being the highest threat.",NEGATIVE,4
75,112,"Although step 1 could be selected on the control screen in the tower, no change in the light intensity occurred",NEGATIVE,-1
76,112,a manual override was required from a lighting vault on the airfield,NEGATIVE,-1
77,112,"from about DEPOT intersection, the runway 27R centerline lights were not identifiable",NEGATIVE,-1
78,112,"When established on final, the taxiway signs were more visible than runway 27R edge lights",NEGATIVE,-1
79,112,At about 500 feet above ground level the runway centerline lights were barely visible,NEGATIVE,-1
80,112,it appeared that some lights may have been out,NEGATIVE,-1
81,113,"On October 21, 2009, Northwest Airlines (NWA) flight 188, an Airbus A320, N374NW, did not communicate with air traffic control (air traffic control) for approximately 1 hour 17 minutes.",NEGATIVE,4
82,113,"While the flight was NORDO (no radio communications), it flew past its intended destination at cruise altitude of 37,000 feet",NEGATIVE,12
83,113,"NWA188 to “contact Minneapolis center” on frequency 124.87. Nine seconds later, the controller repeated the request for a frequency change.",NEGATIVE,4
84,113,"At 1924:32, the fifth Denver controller called NWA188 for a radio check and received no response.",NEGATIVE,4
85,113,The Denver controller was advised that the flight crew had not checked in on the assigned frequency.,NEGATIVE,4
86,113,"At 2014:14, NWA188 radioed, “roger, we got distracted and we’ve overflown Minneapolis. We’re overhead Eau Claire and would like to make a one eighty and do arrival from Eau Claire.”",NEGATIVE,0
87,113,"Each time, the pilots indicated that they had “cockpit distractions.”",NEGATIVE,-1
88,113,The captain programmed the FMC and indicated that he had entered a standard terminal arrival route for MSP but did not enter an anticipated arrival runway.,NEGATIVE,-1
89,113,Both heard “chatter” on the radio frequencies but did not recall hearing their call sign.,NEGATIVE,-1
90,113,"After seeing the next controller accept the handoff, the third controller made two attempts to radio the change of frequency to NWA188 but received no acknowledgement.",NEGATIVE,4
91,113,She then returned to the watch desk to advise the OMIC that NWA188 was still NORDO. Another manager was at the OMIC position at that time and indicated that she was not aware that NWA188 had been NORDO.,NEGATIVE,4
92,113,The area 3 FLM again called NWA dispatch and was informed that dispatchers were very concerned because they could not make any contact with the flight.,NEGATIVE,4
93,113,The acting OMIC also indicated that he did not use the OMIC checklist to brief the duty OMIC because he had been acting for only a short time.,NEGATIVE,4
94,113,The duty Minneapolis OMIC stated that she was not aware that NWA188 was NORDO until the area 3 FLM’s second notification to the watch desk.,NEGATIVE,4
95,113,"If radio communications have not been (re)established with the aircraft after five minutes, consider the aircraft's activity to be possibly suspicious and handle the flight per FAAO JO 7610.4, Chapter 7, Hijacked/Suspicious Aircraft Reporting and Procedures.",NEGATIVE,-1
96,114,"their operations center received an ""ACARS"" (Aircraft Communications Addressing and Reporting System) message from the flight crew advising them that a flight attendant had fallen and a boy had a ""bump on head.""",NEGATIVE,1
97,114,"Within seconds of the PA announcement, one of the flight attendants in the forward galley was ""thrown"" into the galley counter",NEGATIVE,1
98,114,"another flight attendant, in the front of the cabin ""came up slightly"" off her jumpseat.",NEGATIVE,1
99,114,"It appeared to both of them that the airplane had ""dropped,"" several hundred feet.",NEGATIVE,-1
100,115,the airplane encountered turbulence,NEGATIVE,7
101,115,"One of the flight attendants fell into another, causing the second flight attendant to hit her head and fracture a rib",NEGATIVE,1
102,115,causing the second flight attendant to hit her head and fracture a rib,NEGATIVE,1
103,116,"a McDonnell Douglas MD-90-30, N909DA, was substantially damaged following an in-flight collision with birds during climb to cruise flight 25 miles northeast of the Phoenix Sky Harbor International Airport (PHX), Phoenix, Arizona.",NEGATIVE,2
104,116,"The captain reported that while climbing through about 12,000 feet, he heard a large bang with a ""pop"" in the pressurization. Subsequently, the captain noticed that the noise level was very loud within the cockpit.",NEGATIVE,17
105,117,ACA795 was NORDO for 37 minutes in ZDV and ZLA airspace.,NEGATIVE,4
106,117,2141  ZDV attempts radio check with ACA795 – no response,NEGATIVE,4
107,117,2142  FFT780 reports unable to contact ACA795 on frequency 135.4,NEGATIVE,4
108,117,2143  ZDV attempts radio check with ACA795 – no response,NEGATIVE,4
109,117,2144  ZDV requests ACA795 IDENT if receiving transmission – no IDENT observed,NEGATIVE,4
110,117,2145  FFT266 reports unable to contact ACA795 on frequency 127.07,NEGATIVE,4
111,118,"struck a flock of birds shortly after taking off from runway 1R at Kansas City International Airport (MCI), Kansas City, Missouri.",NEGATIVE,0
112,118,The right engine spooled down to flight idle.,NEGATIVE,-1
113,118,"When the crew attempted to advance the throttle, there were a series of compressor stalls.",NEGATIVE,-1
114,118,Passengers said they saw fireballs being ejected from the engine.,NEGATIVE,-1
115,118,Inspection disclosed damage to both engine inlet cowlings,NEGATIVE,-1
116,118,"boroscope examination revealed only the right engine, a General Electric CFM56-5B5P, had sustained internal damage.",NEGATIVE,15
117,119,"On November 18, 2009, about 1930 Eastern Standard Time (EST), N209UA, a Boeing 777-200, registered to and operated by United Airlines Inc., as a Title 14 CFR Part 121 domestic passenger flight, encountered turbulence in the vicinity of New Market, West Virginia.",NEGATIVE,0
118,119,"nor had United Flight Dispatch informed him of any airman meteorological information (airmets), or significant meteorological information (sigmets).",NEGATIVE,4
119,119,He further stated that the turbulence was moderate and that it lasted about 10 to 15 seconds.,NEGATIVE,7
120,119,"at the same time the turbulence occurred, there was an overspeed warning and the autopilot tripped off.",NEGATIVE,-1
121,119,and then abruptly became 2.0 g’s within a few seconds,NEGATIVE,12
122,119,before reducing to minor oscillations varying 1.25 g’s and 0.75 g’s which lasted for about 15 seconds,NEGATIVE,12
123,12,"sustained minor damage when it struck a large bird while on a visual approach to Runway 35R at Austin Bergstrom International Airport (AUS), Austin, Texas.",NEGATIVE,-1
124,12,"Moments later one of the birds struck the bottom right side of the radome. The impact resulted in airframe vibrations; however, both engine indications remained normal.",NEGATIVE,-1
125,120,"an operational error / runway incursion occurred at Detroit Metropolitan Wayne County Airport (DTW), Detroit, Michigan when Fire 2, an airport ground vehicle, was cleared to cross runway 21R at taxiway F in front of Pinnacle Airlines (FLG) flight 3720, a departing regional jet.",NEGATIVE,-1
126,120,"She recognized that an operational error had occurred, and called the break room for two controllers to come to the cab so that she could get the ground and local controllers off position.",NEGATIVE,-1
127,121,"a Boeing MD-82, N483A, scraped its right wingtip while landing on runway 36 Center at Charlotte Douglas International Airport (CLT), Charlotte, NC.",NEGATIVE,-1
128,121,The bank angle aural alert responded as the airplane was being hand flown by the captain.,NEGATIVE,12
129,121,"The bank angle aural alert sounded again at about ""30-32 feet"" while the airplane was in a right correction back to the centerline.",NEGATIVE,12
130,121,"The airplane touched down approximately 1000 to 1500 feet down the runway to the left of centerline with the right wing tip coming into contact with the runway surface, and the left main wheels touching down in the grass adjacent to the runway.",NEGATIVE,9
131,121,"During the incident, the first officer did not make the required 'minimums' callout",NEGATIVE,-1
132,121,the captain did not make a 'landing' or 'go around' callout,NEGATIVE,4
133,122,the truck was in neutral with no emergency brake set,NEGATIVE,5
134,122,he closed his eyes briefly and fell asleep,NEGATIVE,-1
135,122,he closed his eyes briefly and fell asleep and was unaware of what happened until the fuel truck collided with a parked airplane,NEGATIVE,-1
136,122,the fuel truck collided with a parked airplane that had just arrived at the gate,NEGATIVE,2
137,122,One of the two flight attendants received a minor injury,NEGATIVE,1
138,122,The airplane received substantial damage to the after portion of the fuselage where the fuel truck impacted,NEGATIVE,2
139,123,"experienced a flight control system malfunction while en route to Dallas/Fort Worth International Airport (KDFW) Dallas, Texas.",NEGATIVE,0
140,123,the flight crew received a pitch mistrim message.,NEGATIVE,-1
141,123,discovered that fore and after movement of both control columns was stiff with limited travel and did not feel normal.,NEGATIVE,5
142,123,The flight crew twice attempted the Jammed Elevator procedure in an effort to uncouple the elevators. Despite their attempts they did not succeed in uncoupling the elevators.,NEGATIVE,-1
143,123,"On a final approach and after configuring for landing, the elevators again felt jammed.",NEGATIVE,-1
144,123,The inboard bracket was slightly proud of the hinge fitting resulting in a gap between the straight edge and the support flange.,NEGATIVE,-1
145,123,The alignment of the inboard bracket could not be reliably determined because of the fracture.,NEGATIVE,-1
146,123,The PUM disconnect switch was stuck in the closed position when received by the Materials Laboratory.,NEGATIVE,10
147,124,"the pilots of Meridiana Airlines flight 193, a Boeing MD-80, I-SMEB, reported a smell similar to burning plastic while on the ground with the auxiliary power unit running at the Turin-Caselle Airport, Torino, Italy.",NEGATIVE,16
148,125,"Astar Air Cargo maintenance personnel observed hydraulic fluid leaking from a pin hole (crack) at the upper end of the outer cylinder of the nose landing gear (NLG) of airplane N803DH, a Boeing DC-8-73F, during a pre-flight walk around.",NEGATIVE,18
149,125,"While taxing, a loud bang was heard during a turn.",NEGATIVE,17
150,125,At the hangar ground personnel discovered that the NLG outer cylinder had fractured during taxi.,NEGATIVE,18
151,125,The NLG outer cylinder had fractured into three definable sections.,NEGATIVE,18
152,125,Fracture traces indicated that the crack propagated from the aforementioned origin downwards and curving clockwise (looking down) while propagating around the cylinder and through the spline region.,NEGATIVE,6
153,125,"From the spline region, the fracture propagated downwards and intersected with the aforementioned origin.",NEGATIVE,6
154,125,"The aforementioned origin had a secondary crack that ran diagonal to, and intersected the center of, the primary fracture.",NEGATIVE,6
155,125,"The discoloration ranged from rust colored, indicative of corrosion, to a blue-gray discoloration, indicative of high temperature oxidation.",NEGATIVE,6
156,125,"The primary fracture origin consisted of a highly oxidized, elliptically shaped pattern that extended through approximately three quarters of the thickness and was approximately 0.95 inch long.",NEGATIVE,6
157,125,Observation at the origin area showed a crack through the chrome plating and coincidental to the crack in the base metal.,NEGATIVE,6
158,125,The results showed evidence of circumferential grinding burns along the inner surface of the cylinder.,NEGATIVE,6
159,126,While on approach to EWR the crew attempted to extend the landing gear and observed an abnormal gear indication.,NEGATIVE,3
160,126,"The crew conducted a go-around and attempted to manually extend the gear, but was not able to extend and lock the right main gear, and decided to land before fuel ran low.",NEGATIVE,3
161,126,"The flight landed on runway 4L, coming to rest on the left main and nose wheel, and the right engine nacelle.",NEGATIVE,-1
162,126,"At about 0837, the Captain selected the landing gear down, however the landing gear indication lights remained red, indicating that the gear was not in the down and locked position.",NEGATIVE,3
163,126,The crew received a Master Warning and electronic centralized aircraft monitoring (ECAM) messages indicating that one or more of the main landing gear was not down and locked and one or more gear doors were not closed.,NEGATIVE,-1
164,126,"the tower controller radioed that the airplane's left main and nose gear looked down, but that the right landing gear ""did not look right.""",NEGATIVE,-1
165,126,The Captain declared an emergency and requested fire/rescue equipment.,NEGATIVE,16
166,126,"The first class passenger was attempting to open the 1R door, and she witnessed his hand move the handle but it did not appear to go all the way up.",NEGATIVE,-1
167,126,"When the door opened it appeared to open differently than the other door (1L) and it looked ""cockeyed"" from where the Purser stood.",NEGATIVE,-1
168,126,The first class passenger who opened the 1R door stated it opened about 75 percent of the way and he did not hear any noise coming from the emergency evacuation slide nor did the slide deploy.,NEGATIVE,-1
169,126,"If a door has not reached its fully open position within four seconds of the first door reaching its fully open position, a fault will be recorded within the LGCIU.",NEGATIVE,-1
170,126,This fault is not displayed to the crew.,NEGATIVE,4
171,126,"If both LGCIUs detect that at least one gear does not fully extend and lock in place within 30 seconds of the movement of the landing gear selector, the crew will receive a red warning ""LG GEAR NOT DOWNLOCKED"" on the ECAM, associated with a flashing Master Warning light and a continuous repetitive chime.",NEGATIVE,3
172,126,"Whenever the landing gear extension sequence is not completed, an ECAM warning is triggered instructing the flight crew to recycle the gear (i.e. moving the landing gear selector lever up then down again).",NEGATIVE,3
173,126,"Additionally, when the engines were shut down, the AC bus 2 would stop providing power to the 202XP Normal Bus.",NEGATIVE,13
174,126,"When the airspeed decreased below 100 knots, the RAT would no longer drive the emergency generator per the electric system logic.",NEGATIVE,13
175,126,"As a result, the CVR, which is on the AC Shed Essential Bus, would lose power.",NEGATIVE,13
176,126,He did not hear any noise (coming from the emergency evacuation slide.),NEGATIVE,-1
177,126,"He kneeled down and pulled the red handle, but still nothing happened.",NEGATIVE,3
178,126,The improper stowage of the girt in the floor brackets... Both conditions result in excessive bulk at the bottom of the slide pack and are known to lead to door arming difficulties.,NEGATIVE,-1
179,126,"An improperly packed evacuation slide that extends beyond the lower edge of the pack board, thereby contacting the cabin floor. Both conditions result in excessive bulk at the bottom of the slide pack and are known to lead to door arming difficulties. Also, the second condition (excess extension of slide pack beyond lower packboard edge) may have some impact on the orientation of the slide pack at the initial stages of the deployment sequence.",NEGATIVE,-1
180,126,The right main gear door remained in a partially open position as compared to the left main gear door.,NEGATIVE,3
181,126,Visual inspection of the door revealed that it had sustained damage (scrape and wear marks) on its upper and lower sides.,NEGATIVE,2
182,126,Airbus released this service bulletin because they had received several reports of in-service failures of the main landing gear door actuator.,NEGATIVE,-1
183,126,"According to the service bulletin, the symptoms of a failing door actuator are slow operation of the door opening/closing sequence, possibly leading to the generation of ECAM warnings of ""L/G NOT DOWNLOCKED"" and ""L/G DOORS NOT CLOSED"".",NEGATIVE,-1
184,126,The main landing gear door actuator was confirmed to be the cause of the condition with a stiff action and reduced stroke.,NEGATIVE,3
185,126,The damping ring and associated retaining ring are typically found broken with subsequent damage to the damping housing from the resultant debris.,NEGATIVE,6
186,126,The high friction delays the whole LG extension/retraction sequence. The free-fall mode of the main landing gear could be impaired if friction was high enough.,NEGATIVE,3
187,127,"an Aerospatiale ATR72, registration number N434AT, experienced a No. 1 (left) engine fire during takeoff from Henry E Rohlsen Airport, St. Croix, United States Virgin Islands.",NEGATIVE,0
188,127,An on-scene inspection of the No. 1 engine nacelle confirmed the presence of a large fire within the nacelle cavity.,NEGATIVE,10
189,127,This occurred during a service bulletin rework at the vendor and was due to an incorrect or missed machining process that was intended to clean a welding seam.,NEGATIVE,8
190,127,The vendors’ quality control system failed to capture this quality escape.,NEGATIVE,-1
191,127,This rough surface can cause the primary O-ring of the transfer tube to twist and tear when being inserted into the fuel nozzle manifold adapter.,NEGATIVE,8
192,127,This blockage was probably due to an incorrect welding process which allowed excess brazing material to flow into the passage.,NEGATIVE,8
193,127,The vendors’ quality control system failed to capture this quality escape as well.,NEGATIVE,-1
194,127,"Because of this blockage, fuel was prevented from flowing into the telltale drain thus giving no indication to the maintenance crew that the primary O-ring had failed.",NEGATIVE,8
195,127,"With no indication of a leak, no preventative maintenance was performed on the fuel manifold to correct the problem.",NEGATIVE,8
196,127,These tubes had previously been overhauled by the vendor.,NEGATIVE,-1
197,128,"the flight crew of PSA Airlines, doing business as US Airways Express flight 2495, rejected the takeoff of a Bombardier CL-600-2B19, N246PS, which subsequently ran off the runway end and then stopped in the engineered materials arresting system (EMAS)",NEGATIVE,0
198,128,"Two seconds later, the CVR recorded the sound of the airplane master warning and then the flaps and spoilers configuration aural alerts.",NEGATIVE,-1
199,128,"flight data recorder data showed that, at 1613:25, both engine fan speeds began decreasing",NEGATIVE,-1
200,128,the flight and ground spoilers were extended,NEGATIVE,2
201,128,"At 1613:36, the first officer contacted the LC, stating, “rejecting…off the end of…runway two three.”",NEGATIVE,9
202,128,"At 1613:38, the airplane entered the engineered materials arresting system (EMAS) at an airspeed of about 50 knots",NEGATIVE,-1
203,128,The captain stated that he and the first officer had 'probably not' maintained a sterile cockpit during the incident taxi.,NEGATIVE,-1
204,128,He stated that he and the captain did not maintain a sterile cockpit.,NEGATIVE,-1
205,128,He stated that he was not sure if he took these actions during the incident taxi and that he might have just repeated what the first officer said.,NEGATIVE,-1
206,128,The captain stated that the takeoff was normal until the 80-knot callout when he realized that the flaps were misconfigured.,NEGATIVE,-1
207,128,He stated that the incorrect flaps setting would have been a reason to abort the takeoff and that he did not know why he did not call for an RTO at that time.,NEGATIVE,-1
208,128,"He stated that, when he realized that the flaps were not at the correct setting, he quickly reached over and moved the flap setting from 8 to 20 because he thought this action would solve the problem caused by him missing the misconfiguration earlier.",NEGATIVE,-1
209,128,"when they were at about 80 knots, he heard a 'click' and a triple chime aural alert",NEGATIVE,17
210,128,"and saw 'a red indication,' which was the master warning.",NEGATIVE,13
211,129,"On February 2, 2010, A MNG Airlines A300 B4-203, registration TC-MNJ, powered by GE CF6-50C2 engines, experienced a separation of the righthand transcowl from its No. 2 engine during landing roll out at Cologne-Bonn Airport, Cologne, Germany.",NEGATIVE,0
212,129,"the next airplane on the runway collided with transcowl debris, sustaining wheel damage.",NEGATIVE,2
213,13,when it encountered unexpected turbulence,NEGATIVE,7
214,13,One flight attendant was thrown against a wall and sustained a fractured ankle,NEGATIVE,1
215,130,"a Boeing 737-7H4, N221WN, abruptly maneuvered during radar vectors for initial approach to the Bob Hope Airport, Burbank, California.",NEGATIVE,-1
216,131,"an Embraer EMB-120ER, N226SW, sustained minor damage when it taxied into a jet bridge while parking at its assigned terminal gate 82 at the Los Angeles International Airport, California (LAX).",NEGATIVE,0
217,131,when the left propeller struck the jet bridge.,NEGATIVE,-1
218,131,He reported that he never saw the jet bridge on the left side.,NEGATIVE,-1
219,131,"Before the wands crossed, he felt something hit the airplane.",NEGATIVE,-1
220,131,The investigator also observed that the incident airplane's left engine was missing portions of two of its four propeller blades.,NEGATIVE,-1
221,131,"An oil spray residue was observed on the left side of the fuselage, and a pool of oil was present below the left engine and wing.",NEGATIVE,-1
222,131,"An oil spray residue was observed on the left side of the fuselage, and a pool of oil was present below the left engine and wing.",NEGATIVE,-1
223,131,Portions of two propeller blades were embedded into the bottom of the dented jet bridge.,NEGATIVE,2
224,131,Portions of the separated blades were fragmented and found beneath the left and right side of the airplane.,NEGATIVE,-1
225,131,"The left engine's nacelle was bent, and multiple dents were noted in various locations on the left side of the fuselage.",NEGATIVE,10
226,131,The dents were consistent in appearance with blade fragment impact signatures.,NEGATIVE,11
227,132,"On February 19, 2010, about 1452 Alaska standard time (AKST) (2352 coordinated universal time), United Airlines flight 897, a Boeing 747-400, N173UA, encountered severe turbulence during cruise descent between FL310 and FL300 about 100 miles west of Anchorage, Alaska.",NEGATIVE,0
228,132,The flight crew requested a descent to FL300 and began to encounter moderate turbulence after starting the descent.,NEGATIVE,7
229,133,"On March 4, 2010, China Airline flight 5233, a Boeing 747-400, registration B-18723 and operating as a cargo flight, experienced a tail strike during takeoff from Ted Stevens Anchorage International Airport, Anchorage, Alaska.",NEGATIVE,0
230,133,"There were no injuries to the crew, and the airplane received substantial damage.",NEGATIVE,4
231,134,"The air carrier flight had been experiencing light, occasionally moderate, turbulence throughout the flight.",NEGATIVE,7
232,134,the airplane experienced unexpected severe turbulence for 1 to 2 seconds.,NEGATIVE,7
233,134,when they were jolted upward and then fell to the floor.,NEGATIVE,1
